trial,objective,block_mean,block_min,block_max,noise_scale,sp500_noise_floor,dgs10_noise_multiplier,scale_jitter,mean_jitter,regime_radius,continuation_prob,tail_prob,dgs10_tick,profile,feature_mean_gap,feature_std_gap,feature_energy_distance,median_mahalanobis,median_robust_l2,min_mahalanobis_pvalue,outlier_rate_p05,median_nearest_feature_distance
15,9.629159544886193,20,3,126,0.004860723793143452,1.2925716218627623e-05,0.1,0.09462642311022107,0.16243524236728638,504,0.03617587286903543,0.001,0.01,balanced,0.5601626223173555,0.5680990070531357,0.23264253313697192,1.2115084964353806,1.2075006730829503,0.0,1.0,0.8347509485349152
51,9.693307690811523,10,5,252,0.022858490245553816,5.462565954557925e-05,0.05,0.00877216937196722,0.09444578904871866,2520,0.28547838286370697,0.002,0.01,balanced,0.6056039966052856,0.6083924771432412,0.2947087544088163,1.206934835755416,1.0982626528677075,0.0,1.0,0.9090289847102201
55,9.695048602301716,20,3,20,0.024971482494466544,1.941148722405087e-06,0.1,0.005738938594576537,0.1986065490886054,504,0.8176282485811806,0.002,0.01,balanced,0.5991624115328349,0.6603177197593962,0.2469334815723192,1.179943231309423,1.0959577812864452,0.0,1.0,0.7014530298641413
63,9.705793689780636,40,3,40,0.0014462308698692426,6.8561183695021494e-06,0.35,0.055689790205753126,0.15855391101615704,2520,0.5976573964854225,0.008,0.01,balanced,0.6710623652337752,0.42326906035533807,0.3454007906646541,1.2030085588712618,1.3080628130761598,0.0,1.0,1.0109864492169494
17,9.736320059878743,20,5,20,0.0017265844348850535,4.5925459675834436e-05,0.35,0.040608170142436444,0.1009662129983135,2520,0.1723187445076272,0.001,0.01,balanced,0.6507556177660154,0.47569921073167454,0.32220699541657205,1.3612436406119985,1.310375739056,0.0,1.0,0.9827569106065298
30,9.74478039496085,40,2,126,0.024416495342572446,2.362681812965702e-05,0.1,0.07748655089448352,0.02736054125365932,504,0.8229539092017147,0.004,0.01,balanced,0.684066070281343,0.55437025554973,0.30444281362313297,1.0422439147310127,1.3813826783913923,0.0,1.0,0.714278858627234
46,9.752743309865393,10,5,20,0.005220413537492922,7.018745469983692e-05,0.1,0.037700115337035905,0.180090496919157,2520,0.15451007907225356,0.0005,0.01,balanced,0.6815601241562916,0.46900176911349245,0.35085211821940265,1.3072618316892668,1.2473750345413575,0.0,1.0,0.936649286463213
41,9.789489926570305,63,3,252,0.04361529108922425,2.247897353722016e-06,0.35,0.05916213527231612,0.040436608987791445,13474,0.565109433944025,0.008,0.01,balanced,0.6910901607257645,0.524823044839186,0.3538558466928974,1.3164547354191756,1.2439518307233124,0.0,1.0,1.0779316567104718
53,9.805699818378956,40,2,40,0.011105700220876438,6.202669696627909e-06,0.35,0.04011525930525636,0.16016163028651562,13474,0.7089460003251115,0.0,0.01,balanced,0.6584263149811027,0.6877142456631962,0.32093732566134126,1.3087276389493225,1.0809700375512232,0.0,1.0,1.033114253589173
2,9.813319763423829,10,5,20,0.005625113986373706,4.867018137297516e-06,0.0,0.08052735118444457,0.07030534437623925,2520,0.40444914890698225,0.0005,0.01,balanced,0.6798011586017786,0.6443188020545684,0.3070340901603359,1.2830981711445082,1.2177659546436517,0.0,1.0,0.9350608993643506
13,9.825200565151736,10,3,126,0.0010055920940709726,1.0002240750156622e-06,0.35,0.028533355296635622,0.10801221916844664,504,0.5449295814925416,0.004,0.01,balanced,0.7326753478000764,0.4155807590592053,0.3725149345308898,1.424158922200517,1.4240700825657584,0.0,1.0,0.9987941246855644
43,9.870888590279112,10,5,40,0.0019938420856523364,2.7673871497336426e-06,0.35,0.0842814542195167,0.17410089316749766,2520,0.5318614423606796,0.008,0.01,balanced,0.7336067008548837,0.5413260814958022,0.39461656182312876,1.3991918441798723,1.3115137537835686,0.0,1.0,1.0012061603631277
25,9.900201410409656,40,3,40,0.005568972692221428,1.0726370917001197e-05,0.0,0.03872523204617084,0.10243126808630812,13474,0.5467390705978854,0.002,0.01,balanced,0.7401041947415403,0.636376720271783,0.373594285482749,1.3959053482289119,1.160556686313198,0.0,1.0,1.0217632378563226
31,9.913100211562137,126,2,126,0.003946497213775087,2.132659295454782e-05,0.0,0.07407605368178581,0.12606228826113544,504,0.14737050363336684,0.008,0.01,balanced,0.727425426453022,0.635755512315363,0.3697988884634902,1.4025416330153657,1.413446040992702,0.0,1.0,1.0513148186254244
39,9.927277176033066,126,2,252,0.03165943664772108,7.635886742634233e-05,0.1,0.08128350808137605,0.053468133458988355,126,0.16886376034309702,0.002,0.01,balanced,0.6655760012679568,0.8175982729154031,0.3272794327996187,1.418287026898518,1.4089656384138896,0.0,1.0,1.005653837264135
23,9.973239987539914,5,2,40,0.0014655608761613534,9.349016788696682e-06,0.1,0.03018328509154742,0.19401334659272929,13474,0.7998874832358994,0.0,0.01,balanced,0.7600933468496446,0.6492430347107689,0.4578930422403684,1.5541444515027192,1.1480768014964575,0.0,1.0,1.1247173453347994
36,10.023145255368714,15,5,126,0.048802601541195076,3.6388849967909814e-05,0.05,0.06083412373493996,0.06365514510331442,13474,0.032597228720365384,0.002,0.01,balanced,0.809214527848256,0.6720749330100866,0.5019779061711818,1.4565193563259597,1.160254589943308,0.0,1.0,1.132407647094217
50,10.05087037542389,126,3,126,0.0018418907331299037,2.275743658555481e-06,0.2,0.011347532582215282,0.16094246902260884,126,0.6718907993496305,0.001,0.01,balanced,0.7403933772372381,0.8540221291249441,0.345595145944499,1.4683729880023462,1.5960131711889831,0.0,1.0,1.033581503447101
47,10.05692778598407,126,3,126,0.0042208393881992875,1.7146480881098513e-05,0.05,0.06703797001904918,0.0760605208808331,252,0.043885549183534156,0.0005,0.01,balanced,0.7475098156734593,0.7764684240701463,0.38911174796992576,1.4317025289148586,1.9207222792992833,0.0,1.0,1.030177147195074
62,10.063556194897494,10,5,252,0.002120232481698508,1.6152207031978e-06,0.35,0.01801559633738964,0.12290914840611551,252,0.35082671735432386,0.0,0.01,balanced,0.8915973935138237,0.5314194717928129,0.5106925505621962,1.4070129862406469,1.4550683554417652,0.0,1.0,1.0572814201472975
28,10.105055388218911,15,2,63,0.0011941278423384333,7.698517096233098e-06,0.1,0.017919614276786167,0.08914005166817994,13474,0.6627890355989716,0.0005,0.01,balanced,0.7617992240968372,1.1206577839284417,0.35715649975458663,1.2823743979444528,1.0728188564230627,0.0,1.0,0.9487655378258469
1,10.152745043196678,126,5,126,0.013173497678083033,3.486762287193842e-05,0.35,0.02390154008259945,0.001965526941363982,126,0.4140662116634364,0.001,0.01,balanced,0.8349407670882417,0.8359114893796775,0.4522101798715412,1.458531541628994,1.5572366541531255,0.0,1.0,1.0270836994194916
59,10.226076057380993,126,3,126,0.0010681665446080528,3.010043769876165e-06,0.0,0.01790955070033804,0.12203737519352567,252,0.6677937115200011,0.004,0.01,balanced,0.8927405897145746,0.7634556943992823,0.48366831825585344,1.4489045398116773,1.9949373740107483,0.0,1.0,1.0397354285380926
9,10.380529846743237,5,5,40,0.03339428749656025,1.540752808867441e-06,0.35,0.0733842601095198,0.031643067444879526,2520,0.17621215725670664,0.008,0.01,balanced,1.0761573367053971,0.7207914483766736,0.6817402227271021,1.4497704506988511,1.4994212741098545,0.0,1.0,1.1096333888982493
29,10.52747981916772,10,2,63,0.0014942153424145229,1.047816621942566e-06,0.35,0.07058150048332006,0.13593280776272554,63,0.8267899247064593,0.0005,0.01,balanced,0.9528975531020583,1.0249330791800273,0.5772693661084509,1.9995868319822887,1.942190446443418,0.0,1.0,1.4232519102882564
42,10.670747968336444,63,5,126,0.021013398260181965,5.299608121551513e-05,0.05,0.06065453040169491,0.0015599622729713493,63,0.551569600596813,0.008,0.01,balanced,1.247844744981172,0.6865560069158124,0.8624426853522977,1.7561299968313273,1.864663876342708,0.0,1.0,1.361344366652772
38,10.727713244128173,20,2,20,0.02893447244125287,3.15682285571089e-05,0.2,0.08890914412465832,0.0059374146435378534,252,0.08185378936863046,0.008,0.01,balanced,1.172687591194498,0.9514261929641753,0.7598744065269778,1.9136511760128738,1.8840665341966556,0.0,1.0,1.5169627754468655
21,10.753545290142693,15,5,20,0.0018121581480464648,6.252622154603227e-05,0.0,0.019275881552385576,0.1352266022143744,126,0.1715431212670143,0.002,0.01,balanced,1.24231819619427,0.8025571330609936,0.8803989234578715,1.8732064019261645,1.9558322282200715,0.0,1.0,1.3538179118123796
16,10.794779387124708,40,2,40,0.005920503165613784,2.2067564316006004e-06,0.0,0.08827902459380008,0.10771212020805687,63,0.6537008576526026,0.0005,0.01,balanced,1.138594475445339,1.2856215149689953,0.6501341426736058,1.8399928793341256,1.7585772936961424,0.0,1.0,1.3725822263054641
56,10.808821731330964,40,3,63,0.009118019314869002,6.970830710554995e-05,0.2,0.07542331009646844,0.05514030752747634,63,0.4684780262096649,0.0,0.01,balanced,1.1375140181715484,1.2088002757781289,0.7278407622729053,1.9599368462042595,1.8601997119166391,0.0,1.0,1.4975325968427056
40,10.877182108682202,40,5,126,0.002484097687597669,2.4534717325766375e-05,0.05,0.0163191303399988,0.06499608687859611,63,0.7077143511045318,0.001,0.01,balanced,1.21415249566565,1.377442629786884,0.6667680380015204,1.6895958199190784,1.681355618561739,0.0,1.0,1.265177197152818
24,10.94361446306717,40,2,63,0.006522445367808949,3.0326358442030423e-06,0.05,0.00376025297752044,0.15054266440444108,126,0.17570688141162763,0.002,0.01,balanced,1.2490654575381144,1.2300826340754818,0.8437288070373739,1.9192341598666602,1.8464713064212277,0.0,1.0,1.407669397237432
14,10.998421330021408,5,3,40,0.0468219107607699,3.201485154813366e-06,0.05,0.011633678259407766,0.13700246298022592,126,0.6364554288401896,0.001,0.01,balanced,1.3176661866744106,1.1751730036389565,0.8924769131487209,1.8916672589023538,1.913263611270923,0.0,1.0,1.4999293267752951
45,11.082157921823061,10,2,252,0.0037732466628955614,4.659145661372389e-06,0.35,0.03929928259166622,0.18253801237328124,126,0.1831858502798545,0.008,0.01,balanced,1.3761701739189451,1.0191498752128998,0.9932202624515365,2.155034751151322,2.1394720516557797,0.0,1.0,1.6664873727538043
44,11.759642671584643,15,5,40,0.021225431877834978,1.3044209326037224e-05,0.0,0.06212403449271198,0.18437640243357048,63,0.33448547892675967,0.001,0.01,balanced,1.7190688648515682,1.5360496164815258,1.3386845197055592,2.1991574855453746,2.380109820940426,0.0,1.0,1.930813668463962
8,12.013826168969537,5,5,20,0.02256116833977078,1.6878986530823314e-05,0.1,0.018618684284943676,0.1811149406737141,63,0.31312869906188345,0.004,0.01,balanced,1.6765995020264215,1.8662349837235992,1.3007482473788898,2.7647692358791307,2.805453314437311,0.0,1.0,2.16083109108071
48,12.386126805896271,10,5,252,0.029613992517208622,6.273839381553347e-06,0.05,0.03419995598014586,0.018389186226516353,63,0.6045828770408728,0.008,0.01,balanced,1.7781973573941727,2.483971974370588,1.3085649903525116,2.8021828111561784,2.642204035614359,0.0,1.0,2.0973761373499435
12,12.490651252118305,10,5,63,0.0037820844042785874,4.470181794845538e-06,0.1,0.05114003915326603,0.08836934479713368,63,0.1987948133718563,0.008,0.01,balanced,2.0937980028447885,2.119345183103744,1.6487464108105887,2.411039765733707,2.2741858539581186,0.0,1.0,1.8853459708621902
